Function name,Matrix size,Elapsed time,Number of processes
Azure Sequential,4,0.0004289,1
Azure Threaded,4,0.0000929,2
OpenFaaS Sequential,4,0.0000182,1
OpenFaaS Threaded,4,0.0000198,2
Azure Multi-function,4,0.13968682,2
OpenFaaS Multi-function,4,0.04255104,2
Azure Multi-function,4,0.12961912,4
OpenFaaS Multi-function,4,0.04631591,4
Azure Multi-function,4,0.15436196,8
OpenFaaS Multi-function,4,0.06153178,8
Azure Sequential,16,0.0001965,1
Azure Threaded,16,0.0000528,2
OpenFaaS Sequential,16,0.0000214,1
OpenFaaS Threaded,16,0.0000323,2
Azure Multi-function,16,0.1064682,2
OpenFaaS Multi-function,16,0.04203486,2
Azure Multi-function,16,0.11206698,4
OpenFaaS Multi-function,16,0.05043197,4
Azure Multi-function,16,0.13988996,8
OpenFaaS Multi-function,16,0.05313897,8
Azure Sequential,64,0.0000458,1
Azure Threaded,64,0.0000431,2
OpenFaaS Sequential,64,0.0000252,1
OpenFaaS Threaded,64,0.0000196,2
Azure Multi-function,64,0.12029195,2
OpenFaaS Multi-function,64,0.04352999,2
Azure Multi-function,64,0.12997293,4
OpenFaaS Multi-function,64,0.04733372,4
Azure Multi-function,64,0.15334678,8
OpenFaaS Multi-function,64,0.0673759,8
Azure Sequential,256,0.0002879,1
Azure Threaded,256,0.0000852,2
OpenFaaS Sequential,256,0.0000384,1
OpenFaaS Threaded,256,0.0000504,2
Azure Multi-function,256,0.12870383,2
OpenFaaS Multi-function,256,0.06711411,2
Azure Multi-function,256,9.71307492,4
OpenFaaS Multi-function,256,0.05555892,4
Azure Multi-function,256,0.14999008,8
OpenFaaS Multi-function,256,0.05979705,8
Azure Sequential,1024,0.0014159,1
Azure Threaded,1024,0.0003163,2
OpenFaaS Sequential,1024,0.00011801,1
OpenFaaS Threaded,1024,0.00017161,2
Azure Multi-function,1024,0.14506698,2
OpenFaaS Multi-function,1024,0.04472709,2
Azure Multi-function,1024,7.05188513,4
OpenFaaS Multi-function,1024,0.06088281,4
Azure Multi-function,1024,0.16027403,8
OpenFaaS Multi-function,1024,0.07631588,8
Azure Sequential,4096,0.0011702,1
Azure Threaded,4096,0.00186769,2
OpenFaaS Sequential,4096,0.00063483,1
OpenFaaS Threaded,4096,0.00050602,2
Azure Multi-function,4096,0.15720701,2
OpenFaaS Multi-function,4096,0.07021618,2
Azure Multi-function,4096,0.21883702,4
OpenFaaS Multi-function,4096,0.07391095,4
Azure Multi-function,4096,0.2490859,8
OpenFaaS Multi-function,4096,0.11003089,8
Azure Sequential,16384,0.0129002,1
Azure Threaded,16384,0.01723898,2
OpenFaaS Sequential,16384,0.006547,1
OpenFaaS Threaded,16384,0.0043279,2
Azure Multi-function,16384,0.27600789,2
OpenFaaS Multi-function,16384,0.1625421,2
Azure Multi-function,16384,6.59240508,4
OpenFaaS Multi-function,16384,0.22131896,4
Azure Multi-function,16384,0.525599,8
OpenFaaS Multi-function,16384,0.35471892,8
Azure Sequential,65536,0.1316079,1
Azure Threaded,65536,0.12119817,2
OpenFaaS Sequential,65536,0.05170053,1
OpenFaaS Threaded,65536,0.03401213,2
Azure Multi-function,65536,0.80258775,2
OpenFaaS Multi-function,65536,0.49594998,2
Azure Multi-function,65536,1.35877895,4
OpenFaaS Multi-function,65536,0.7594111,4
Azure Multi-function,65536,1.62590075,8
OpenFaaS Multi-function,65536,1.66199589,8
Azure Sequential,262144,1.12304788,1
Azure Threaded,262144,1.00996984,2
OpenFaaS Sequential,262144,0.69440649,1
OpenFaaS Threaded,262144,0.38909632,2
Azure Multi-function,262144,2.96458602,2
OpenFaaS Multi-function,262144,2.08235383,2
Azure Multi-function,262144,5.90250897,4
OpenFaaS Multi-function,262144,3.13278008,4
Azure Multi-function,262144,10.74822402,8
Azure Sequential,4,0.0000283,1
Azure Threaded,4,0.00005,2
OpenFaaS Sequential,4,0.0000138,1
OpenFaaS Threaded,4,0.0000151,2
Azure Multi-function,4,0.12630773,2
OpenFaaS Multi-function,4,0.04024982,2
Azure Multi-function,4,0.12341499,4
OpenFaaS Multi-function,4,0.048702,4
Azure Multi-function,4,0.12820101,8
OpenFaaS Multi-function,4,0.05974102,8
Azure Sequential,16,0.0000597,1
Azure Threaded,16,0.0000619,2
OpenFaaS Sequential,16,0.0000188,1
OpenFaaS Threaded,16,0.0000167,2
Azure Multi-function,16,0.13833809,2
OpenFaaS Multi-function,16,0.04292917,2
Azure Multi-function,16,0.11024308,4
OpenFaaS Multi-function,16,0.04583502,4
Azure Multi-function,16,0.11633086,8
OpenFaaS Multi-function,16,0.06486702,8
Azure Sequential,64,0.0001413,1
Azure Threaded,64,0.0001711,2
